stop_id,order,route_id,station,id,LINENAME,line
101S,1,1,Van Cortlandt Park - 242 St,V.CORTLANDT PK,1,1
103S,2,1,238 St,238 ST,1,1
104S,3,1,231 St,231 ST,1,1
106S,4,1,Marble Hill - 225 St,MARBLE HILL-225,1,1
107S,5,1,215 St,215 ST,1,1
108S,6,1,207 St,207 ST,1,1
109S,7,1,Dyckman St,DYCKMAN ST,1,1
110S,8,1,191 St,191 ST,1,1
111S,9,1,181 St,181 ST,1,1
112S,10,1,168 St - Washington Hts,168 ST,1AC,1
113S,11,1,157 St,157 ST,1,1
114S,12,1,145 St,145 ST,1,1
115S,13,1,137 St - City College,137 ST CITY COL,1,1
116S,14,1,125 St,125 ST,1,1
117S,15,1,116 St - Columbia University,116 ST-COLUMBIA,1,1
118S,16,1,Cathedral Pkwy (110 St),CATHEDRAL PKWY,1,1
119S,17,1,103 St,103 ST,1,1
120S,18,1,96 St,96 ST,123,1
121S,19,1,86 St,86 ST,1,1
122S,20,1,79 St,79 ST,1,1
123S,21,1,72 St,72 ST,123,1
124S,22,1,66 St - Lincoln Center,66 ST-LINCOLN,1,1
125S,23,1,59 St - Columbus Circle,59 ST COLUMBUS,1ABCD,1
126S,24,1,50 St,50 ST,1,1
127S,25,1,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRS,1
128S,26,1,34 St - Penn Station,34 ST-PENN STA,123,1
129S,27,1,28 St,28 ST,1,1
130S,28,1,23 St,23 ST,1,1
131S,29,1,18 St,18 ST,1,1
132S,30,1,14 St,14 ST,123FLM,1
133S,31,1,Christopher St - Sheridan Sq,CHRISTOPHER ST,1,1
134S,32,1,Houston St,HOUSTON ST,1,1
135S,33,1,Canal St,CANAL ST,1,1
136S,34,1,Franklin St,FRANKLIN ST,1,1
137S,35,1,Chambers St,CHAMBERS ST,123,1
138S,36,1,Cortlandt St,WTC-CORTLANDT,1,1
139S,37,1,Rector St,RECTOR ST,1,1
142S,38,1,South Ferry,SOUTH FERRY,1RW,1
201S,1,2,Wakefield - 241 St,WAKEFIELD/241,2,2
204S,2,2,Nereid Av,NEREID AV,25,2
205S,3,2,233 St,233 ST,25,2
206S,4,2,225 St,225 ST,25,2
207S,5,2,219 St,219 ST,25,2
208S,6,2,Gun Hill Rd,GUN HILL RD,25,2
209S,7,2,Burke Av,BURKE AV,25,2
210S,8,2,Allerton Av,ALLERTON AV,25,2
211S,9,2,Pelham Pkwy,PELHAM PKWY,25,2
212S,10,2,Bronx Park East,BRONX PARK EAST,25,2
213S,11,2,E 180 St,E 180 ST,25,2
214S,12,2,West Farms Sq - E Tremont Av,WEST FARMS SQ,25,2
215S,13,2,174 St,174 ST,25,2
216S,14,2,Freeman St,FREEMAN ST,25,2
217S,15,2,Simpson St,SIMPSON ST,25,2
218S,16,2,Intervale Av,INTERVALE AV,25,2
219S,17,2,Prospect Av,PROSPECT AV,25,2
220S,18,2,Jackson Av,JACKSON AV,25,2
221S,19,2,3 Av - 149 St,3 AV-149 ST,25,2
222S,20,2,149 St - Grand Concourse,149/GRAND CONC,245,2
224S,21,2,135 St,135 ST,23,2
225S,22,2,125 St,125 ST,23,2
226S,23,2,116 St,116 ST,23,2
227S,24,2,Central Park North (110 St),CENTRAL PK N110,23,2
120S,25,2,96 St,96 ST,123,2
123S,26,2,72 St,72 ST,123,2
127S,27,2,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRS,2
128S,28,2,34 St - Penn Station,34 ST-PENN STA,123,2
132S,29,2,14 St,14 ST,123FLM,2
137S,30,2,Chambers St,CHAMBERS ST,123,2
228S,31,2,Park Pl,PARK PLACE,23ACE,2
229S,32,2,Fulton St,FULTON ST,ACJZ2345,2
230S,33,2,Wall St,WALL ST,23,2
231S,34,2,Clark St,CLARK ST,23,2
232S,35,2,Borough Hall,BOROUGH HALL,2345R,2
233S,36,2,Hoyt St,HOYT ST,23,2
234S,37,2,Nevins St,NEVINS ST,2345,2
235S,38,2,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,2
236S,39,2,Bergen St,BERGEN ST,23,2
237S,40,2,Grand Army Plaza,GRAND ARMY PLAZ,23,2
238S,41,2,Eastern Pkwy - Brooklyn Museum,EASTN PKWY-MUSM,23,2
239S,42,2,Franklin Av,FRANKLIN AV,2345S,2
241S,43,2,President St,PRESIDENT ST,25,2
242S,44,2,Sterling St,STERLING ST,25,2
243S,45,2,Winthrop St,WINTHROP ST,25,2
244S,46,2,Church Av,CHURCH AV,25,2
245S,47,2,Beverly Rd,BEVERLY RD,25,2
246S,48,2,Newkirk Av,NEWKIRK AV,25,2
247S,49,2,Flatbush Av - Brooklyn College,FLATBUSH AV-B.C,25,2
301S,1,3,Harlem - 148 St,HARLEM 148 ST,3,3
302S,2,3,145 St,145 ST,3,3
224S,3,3,135 St,135 ST,23,3
225S,4,3,125 St,125 ST,23,3
226S,5,3,116 St,116 ST,23,3
227S,6,3,Central Park North (110 St),CENTRAL PK N110,23,3
120S,7,3,96 St,96 ST,123,3
123S,8,3,72 St,72 ST,123,3
127S,9,3,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRS,3
128S,10,3,34 St - Penn Station,34 ST-PENN STA,123,3
132S,11,3,14 St,14 ST,123FLM,3
137S,12,3,Chambers St,CHAMBERS ST,123,3
228S,13,3,Park Pl,PARK PLACE,23ACE,3
229S,14,3,Fulton St,FULTON ST,ACJZ2345,3
230S,15,3,Wall St,WALL ST,23,3
231S,16,3,Clark St,CLARK ST,23,3
232S,17,3,Borough Hall,BOROUGH HALL,2345R,3
233S,18,3,Hoyt St,HOYT ST,23,3
234S,19,3,Nevins St,NEVINS ST,2345,3
235S,20,3,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,3
236S,21,3,Bergen St,BERGEN ST,23,3
237S,22,3,Grand Army Plaza,GRAND ARMY PLAZ,23,3
238S,23,3,Eastern Pkwy - Brooklyn Museum,EASTN PKWY-MUSM,23,3
239S,24,3,Franklin Av,FRANKLIN AV,2345S,3
248S,25,3,Nostrand Av,NOSTRAND AV,3,3
249S,26,3,Kingston Av,KINGSTON AV,3,3
250S,27,3,Crown Hts - Utica Av,CROWN HTS-UTICA,34,3
251S,28,3,Sutter Av - Rutland Rd,SUTTER AV-RUTLD,3,3
252S,29,3,Saratoga Av,SARATOGA AV,3,3
253S,30,3,Rockaway Av,ROCKAWAY AV,3,3
254S,31,3,Junius St,JUNIUS ST,3,3
255S,32,3,Pennsylvania Av,PENNSYLVANIA AV,3,3
256S,33,3,Van Siclen Av,VAN SICLEN AV,3,3
257S,34,3,New Lots Av,NEW LOTS AV,3,3
401S,1,4,Woodlawn,WOODLAWN,4,4
402S,2,4,Mosholu Pkwy,MOSHOLU PKWY,4,4
405S,3,4,Bedford Park Blvd - Lehman College,BEDFORD PK BLVD,4,4
406S,4,4,Kingsbridge Rd,KINGSBRIDGE RD,4,4
407S,5,4,Fordham Rd,FORDHAM RD,4,4
408S,6,4,183 St,183 ST,4,4
409S,7,4,Burnside Av,BURNSIDE AV,4,4
410S,8,4,176 St,176 ST,4,4
411S,9,4,Mt Eden Av,MT EDEN AV,4,4
412S,10,4,170 St,170 ST,4,4
413S,11,4,167 St,167 ST,4,4
414S,12,4,161 St - Yankee Stadium,161/YANKEE STAD,4BD,4
415S,13,4,149 St - Grand Concourse,149/GRAND CONC,245,4
416S,14,4,138 St - Grand Concourse,138/GRAND CONC,45,4
621S,15,4,125 St,125 ST,456,4
626S,16,4,86 St,86 ST,456,4
629S,17,4,59 St,59 ST,456NQRW,4
631S,18,4,Grand Central - 42 St,GRD CNTRL-42 ST,4567S,4
635S,19,4,14 St - Union Sq,14 ST-UNION SQ,LNQR456W,4
640S,20,4,Brooklyn Bridge - City Hall,BROOKLYN BRIDGE,456JZ,4
418S,21,4,Fulton St,FULTON ST,ACJZ2345,4
419S,22,4,Wall St,WALL ST,45,4
420S,23,4,Bowling Green,BOWLING GREEN,45,4
423S,24,4,Borough Hall,BOROUGH HALL,2345R,4
234S,25,4,Nevins St,NEVINS ST,2345,4
235S,26,4,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,4
239S,27,4,Franklin Av,FRANKLIN AV,2345S,4
250S,28,4,Crown Hts - Utica Av,CROWN HTS-UTICA,34,4
501S,1,5,Eastchester - Dyre Av,EASTCHSTER/DYRE,5,5
502S,2,5,Baychester Av,BAYCHESTER AV,5,5
503S,3,5,Gun Hill Rd,GUN HILL RD,25,5
504S,4,5,Pelham Pkwy,PELHAM PKWY,25,5
505S,5,5,Morris Park,MORRIS PARK,5,5
213S,6,5,E 180 St,E 180 ST,25,5
214S,7,5,West Farms Sq - E Tremont Av,WEST FARMS SQ,25,5
215S,8,5,174 St,174 ST,25,5
216S,9,5,Freeman St,FREEMAN ST,25,5
217S,10,5,Simpson St,SIMPSON ST,25,5
218S,11,5,Intervale Av,INTERVALE AV,25,5
219S,12,5,Prospect Av,PROSPECT AV,25,5
220S,13,5,Jackson Av,JACKSON AV,25,5
221S,14,5,3 Av - 149 St,3 AV-149 ST,25,5
222S,15,5,149 St - Grand Concourse,149/GRAND CONC,245,5
416S,16,5,138 St - Grand Concourse,138/GRAND CONC,45,5
621S,17,5,125 St,125 ST,456,5
626S,18,5,86 St,86 ST,456,5
629S,19,5,59 St,59 ST,456NQRW,5
631S,20,5,Grand Central - 42 St,GRD CNTRL-42 ST,4567S,5
635S,21,5,14 St - Union Sq,14 ST-UNION SQ,LNQR456W,5
640S,22,5,Brooklyn Bridge - City Hall,BROOKLYN BRIDGE,456JZ,5
418S,23,5,Fulton St,FULTON ST,ACJZ2345,5
419S,24,5,Wall St,WALL ST,45,5
420S,25,5,Bowling Green,BOWLING GREEN,45,5
423S,26,5,Borough Hall,BOROUGH HALL,2345R,5
234S,27,5,Nevins St,NEVINS ST,2345,5
235S,28,5,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,5
239S,29,5,Franklin Av,FRANKLIN AV,2345S,5
241S,30,5,President St,PRESIDENT ST,25,5
242S,31,5,Sterling St,STERLING ST,25,5
243S,32,5,Winthrop St,WINTHROP ST,25,5
244S,33,5,Church Av,CHURCH AV,25,5
245S,34,5,Beverly Rd,BEVERLY RD,25,5
246S,35,5,Newkirk Av,NEWKIRK AV,25,5
247S,36,5,Flatbush Av - Brooklyn College,FLATBUSH AV-B.C,25,5
601S,1,6,Pelham Bay Park,PELHAM BAY PARK,6,6
602S,2,6,Buhre Av,BUHRE AV,6,6
603S,3,6,Middletown Rd,MIDDLETOWN RD,6,6
604S,4,6,Westchester Sq - E Tremont Av,WESTCHESTER SQ,6,6
606S,5,6,Zerega Av,ZEREGA AV,6,6
607S,6,6,Castle Hill Av,CASTLE HILL AV,6,6
608S,7,6,Parkchester,PARKCHESTER,6,6
609S,8,6,St Lawrence Av,ST LAWRENCE AV,6,6
610S,9,6,Morrison Av- Sound View,MORISN AV/SNDVW,6,6
611S,10,6,Elder Av,ELDER AV,6,6
612S,11,6,Whitlock Av,WHITLOCK AV,6,6
613S,12,6,Hunts Point Av,HUNTS POINT AV,6,6
614S,13,6,Longwood Av,LONGWOOD AV,6,6
615S,14,6,E 149 St,E 149 ST,6,6
616S,15,6,E 143 St - St Mary's St,E 143/ST MARY'S,6,6
617S,16,6,Cypress Av,CYPRESS AV,6,6
618S,17,6,Brook Av,BROOK AV,6,6
619S,18,6,3 Av - 138 St,3 AV 138 ST,6,6
621S,19,6,125 St,125 ST,456,6
622S,20,6,116 St,116 ST,6,6
623S,21,6,110 St,110 ST,6,6
624S,22,6,103 St,103 ST,6,6
625S,23,6,96 St,96 ST,6,6
626S,24,6,86 St,86 ST,456,6
627S,25,6,77 St,77 ST,6,6
628S,26,6,68 St - Hunter College,68ST-HUNTER CO,6,6
629S,27,6,59 St,59 ST,456NQRW,6
630S,28,6,51 St,51 ST,6,6
631S,29,6,Grand Central - 42 St,GRD CNTRL-42 ST,4567S,6
632S,30,6,33 St,33 ST,6,6
633S,31,6,28 St,28 ST,6,6
634S,32,6,23 St,23 ST,6,6
635S,33,6,14 St - Union Sq,14 ST-UNION SQ,LNQR456W,6
636S,34,6,Astor Pl,ASTOR PL,6,6
637S,35,6,Bleecker St,BLEECKER ST,6DF,6
638S,36,6,Spring St,SPRING ST,6,6
639S,37,6,Canal St,CANAL ST,JNQRZ6W,6
640S,38,6,Brooklyn Bridge - City Hall,BROOKLYN BRIDGE,456JZ,6
701S,1,7,Flushing - Main St,FLUSHING-MAIN,7,7
702S,2,7,Mets - Willets Point,METS-WILLETS PT,7,7
705S,3,7,111 St,111 ST,7,7
706S,4,7,103 St - Corona Plaza,103 ST-CORONA,7,7
707S,5,7,Junction Blvd,JUNCTION BLVD,7,7
708S,6,7,90 St - Elmhurst Av,90 ST-ELMHURST,7,7
709S,7,7,82 St - Jackson Hts,82 ST-JACKSON H,7,7
710S,8,7,74 St - Broadway,74 ST-BROADWAY,7EFMR,7
711S,9,7,69 St,69 ST,7,7
712S,10,7,Woodside - 61 St,61 ST WOODSIDE,7,7
713S,11,7,52 St,52 ST,7,7
714S,12,7,46 St - Bliss St,46 ST BLISS ST,7,7
715S,13,7,40 St - Lowery St,40 ST LOWERY ST,7,7
716S,14,7,33 St - Rawson St,33 ST-RAWSON ST,7,7
718S,15,7,Queensboro Plaza,QUEENSBORO PLZ,7NQW,7
719S,16,7,Court Sq,COURT SQ,7,7
720S,17,7,Hunters Point Av,HUNTERS PT AV,7,7
721S,18,7,Vernon Blvd - Jackson Av,VERNON-JACKSON,7,7
723S,19,7,Grand Central - 42 St,GRD CNTRL-42 ST,4567S,7
724S,20,7,5 Av,5 AVE,7BDFM,7
725S,21,7,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRS,7
726S,22,7,34 St - Hudson Yds,34 ST-HUDSON YD,7,7
A02S,1,A,Inwood - 207 St,INWOOD-207 ST,A,A
A03S,2,A,Dyckman St,DYCKMAN ST,A,A
A05S,3,A,190 St,190 ST,A,A
A06S,4,A,181 St,181 ST,A,A
A07S,5,A,175 St,175 ST,A,A
A09S,6,A,168 St,168 ST,1AC,A
A12S,7,A,145 St,145 ST,ABCD,A
A15S,8,A,125 St,125 ST,ACBD,A
A24S,9,A,59 St - Columbus Circle,59 ST COLUMBUS,1ABCD,A
A27S,10,A,42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,ACENGRS1237W,A
A28S,11,A,34 St - Penn Station,34 ST-PENN STA,123ACE,A
A31S,12,A,14 St,14 ST,ACEL,A
A32S,13,A,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,A
A34S,14,A,Canal St,CANAL ST,ACE,A
A36S,15,A,Chambers St,CHAMBERS ST,ACE23,A
A38S,16,A,Fulton St,FULTON ST,ACJZ2345,A
A40S,17,A,High St,HIGH ST,AC,A
A41S,18,A,Jay St - MetroTech,JAY ST-METROTEC,ACF,A
A42S,19,A,Hoyt - Schermerhorn Sts,HOYT-SCHER,ACG,A
A46S,20,A,Nostrand Av,NOSTRAND AV,AC,A
A48S,21,A,Utica Av,UTICA AV,AC,A
A51S,22,A,Broadway Jct,BROADWAY JCT,ACJLZ,A
A55S,23,A,Euclid Av,EUCLID AV,AC,A
A57S,24,A,Grant Av,GRANT AV,A,A
A59S,25,A,80 St,80 ST,A,A
A60S,26,A,88 St,88 ST,A,A
A61S,27,A,Rockaway Blvd,ROCKAWAY BLVD,A,A
A63S,28,A,104 St,104 ST,A,A
H02S,28,A,Aqueduct - N Conduit Av,AQUEDUCT N.COND,A,A
A64S,29,A,111 St,111 ST,A,A
H03S,29,A,Howard Beach - JFK Airport,HOWARD BCH JFK,A,A
A65S,30,A,Ozone Park - Lefferts Blvd,OZONE PK LEFFRT,A,A
H04S,30,A,Broad Channel,BROAD CHANNEL,AS,A
H06S,31,A,Beach 67 St,BEACH 67 ST,A,A
H07S,32,A,Beach 60 St,BEACH 60 ST,A,A
H08S,33,A,Beach 44 St,BEACH 44 ST,A,A
H09S,34,A,Beach 36 St,BEACH 36 ST,A,A
H10S,35,A,Beach 25 St,BEACH 25 ST,A,A
H11S,36,A,Far Rockaway - Mott Av,FAR ROCKAWAY,A,A
D13S,1,B,145 St,145 ST,ABCD,B
A14S,2,B,135 St,135 ST,BC,B
A15S,3,B,125 St,125 ST,ACBD,B
A16S,4,B,116 St,116 ST,BC,B
A17S,5,B,Cathedral Pkwy (110 St),CATHEDRAL PKWY,BC,B
A18S,6,B,103 St,103 ST,BC,B
A19S,7,B,96 St,96 ST,BC,B
A20S,8,B,86 St,86 ST,BC,B
A21S,9,B,81 St - Museum of Natural History,81 ST-MUSEUM,BC,B
A22S,10,B,72 St,72 ST,BC,B
A24S,11,B,59 St - Columbus Circle,59 ST COLUMBUS,1ABCD,B
D14S,12,B,7 Av,7 AV,BDE,B
D15S,13,B,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,BDFM,B
D16S,14,B,42 St - Bryant Pk,42 ST-BRYANT PK,BDFM7,B
D17S,15,B,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,B
D20S,16,B,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,B
D21S,17,B,Broadway-Lafayette St,B'WAY-LAFAYETTE,BDFQ6,B
D22S,18,B,Grand St,GRAND ST,BD,B
R30S,19,B,DeKalb Av,DEKALB AV,BDNQR,B
D24S,20,B,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,B
D25S,21,B,7 Av,7 AV,BDE,B
D26S,22,B,Prospect Park,PROSPECT PARK,BQS,B
D28S,23,B,Church Av,CHURCH AV,BQ,B
D31S,24,B,Newkirk Plaza,NEWKIRK PLAZA,BQ,B
D35S,25,B,Kings Hwy,KINGS HWY,BQ,B
D39S,26,B,Sheepshead Bay,SHEEPSHEAD BAY,BQ,B
D40S,27,B,Brighton Beach,BRIGHTON BEACH,BQ,B
A09S,1,C,168 St,168 ST,1AC,C
A10S,2,C,163 St - Amsterdam Av,163 ST-AMSTERDM,C,C
A11S,3,C,155 St,155 ST,C,C
A12S,4,C,145 St,145 ST,ABCD,C
A14S,5,C,135 St,135 ST,BC,C
A15S,6,C,125 St,125 ST,ACBD,C
A16S,7,C,116 St,116 ST,BC,C
A17S,8,C,Cathedral Pkwy (110 St),CATHEDRAL PKWY,BC,C
A18S,9,C,103 St,103 ST,BC,C
A19S,10,C,96 St,96 ST,BC,C
A20S,11,C,86 St,86 ST,BC,C
A21S,12,C,81 St - Museum of Natural History,81 ST-MUSEUM,BC,C
A22S,13,C,72 St,72 ST,BC,C
A24S,14,C,59 St - Columbus Circle,59 ST COLUMBUS,1ABCD,C
A25S,15,C,50 St,50 ST,CE,C
A27S,16,C,42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,ACENGRS1237W,C
A28S,17,C,34 St - Penn Station,34 ST-PENN STA,123ACE,C
A30S,18,C,23 St,23 ST,CE,C
A31S,19,C,14 St,14 ST,ACEL,C
A32S,20,C,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,C
A33S,21,C,Spring St,SPRING ST,CE,C
A34S,22,C,Canal St,CANAL ST,ACE,C
A36S,23,C,Chambers St,CHAMBERS ST,ACE23,C
A38S,24,C,Fulton St,FULTON ST,ACJZ2345,C
A40S,25,C,High St,HIGH ST,AC,C
A41S,26,C,Jay St - MetroTech,JAY ST-METROTEC,ACF,C
A42S,27,C,Hoyt - Schermerhorn Sts,HOYT-SCHER,ACG,C
A43S,28,C,Lafayette Av,LAFAYETTE AV,C,C
A44S,29,C,Clinton - Washington Avs,CLINTON-WASH AV,C,C
A45S,30,C,Franklin Av,FRANKLIN AV,ACS,C
A46S,31,C,Nostrand Av,NOSTRAND AV,AC,C
A47S,32,C,Kingston - Throop Avs,KINGSTON-THROOP,C,C
A48S,33,C,Utica Av,UTICA AV,AC,C
A49S,34,C,Ralph Av,RALPH AV,C,C
